"face_id","college_name","session_number","zone","emotion","confidence","created_at","position.x1","position.y1","position.x2","position.y2","position.center_x","position.center_y","pose.pitch","pose.yaw","pose.roll","pose.confidence"
face_IITDelhi_1_1,IIT Delhi,1,center,neutral,0.88,2024-12-29 09:55:00,145,100,285,225,215,162,-19.49,-3.02,8.62,0.92
face_IITDelhi_1_2,IIT Delhi,1,center,neutral,0.94,2024-12-29 10:28:00,296,115,418,260,357,187,-11.51,-18.52,6.69,0.9
face_IITDelhi_1_3,IIT Delhi,1,left,neutral,0.97,2024-12-29 09:56:00,727,351,857,493,792,422,-1.27,18.17,-0.34,0.97
face_IITDelhi_1_4,IIT Delhi,1,right,happy,0.88,2024-12-29 09:04:00,746,327,892,471,819,399,10.27,-4.49,3.07,0.9
face_IITDelhi_1_5,IIT Delhi,1,left,neutral,0.86,2024-12-29 09:59:00,294,156,440,286,367,221,7.38,-6.27,-6.06,0.93
face_IITDelhi_1_6,IIT Delhi,1,right,neutral,0.97,2024-12-29 09:28:00,485,241,620,395,552,318,15.44,3.93,6.03,0.93
face_IITDelhi_1_7,IIT Delhi,1,right,angry,0.93,2024-12-29 09:03:00,243,393,346,536,294,464,-6.77,14.5,-12.89,0.93
face_IITDelhi_1_8,IIT Delhi,1,right,neutral,0.88,2024-12-29 09:02:00,674,278,814,435,744,356,18.35,4.53,-4.2,1
face_IITDelhi_1_9,IIT Delhi,1,center,neutral,0.92,2024-12-29 09:32:00,502,223,640,383,571,303,-9.33,29.42,-6.48,0.96
face_IITDelhi_1_10,IIT Delhi,1,right,neutral,0.91,2024-12-29 09:03:00,285,301,387,476,336,388,6.5,-40.19,-11.09,0.92
face_IITDelhi_1_11,IIT Delhi,1,center,neutral,0.93,2024-12-29 10:24:00,604,184,716,304,660,244,0.47,30.34,9,0.92
face_IITDelhi_1_12,IIT Delhi,1,center,fear,0.95,2024-12-29 09:43:00,401,143,516,274,458,208,4.12,-9.91,6.5,0.99
face_IITDelhi_1_13,IIT Delhi,1,center,neutral,0.92,2024-12-29 09:28:00,629,385,765,523,697,454,-17.07,3.51,-2.38,0.99
face_IITDelhi_1_14,IIT Delhi,1,left,neutral,0.9,2024-12-29 09:23:00,620,171,757,345,688,258,-1.47,-11.05,3.73,0.9
face_IITDelhi_1_15,IIT Delhi,1,left,fear,0.91,2024-12-29 10:12:00,367,236,502,373,434,304,-9.85,8.13,5.52,0.95
face_IITDelhi_1_16,IIT Delhi,1,left,fear,0.9,2024-12-29 09:40:00,427,187,537,327,482,257,4.61,-20.26,-0.62,0.93
face_IITDelhi_1_17,IIT Delhi,1,right,happy,0.9,2024-12-29 10:16:00,198,110,334,282,266,196,17.83,-0.38,-9.94,0.99
face_IITDelhi_1_18,IIT Delhi,1,right,surprise,0.98,2024-12-29 10:15:00,190,167,324,344,257,255,8.48,-18.32,-3.44,0.96
face_IITDelhi_1_19,IIT Delhi,1,right,sad,0.96,2024-12-29 10:06:00,260,327,405,472,332,399,-5.75,-2.13,-8.61,0.91
face_IITDelhi_1_20,IIT Delhi,1,center,angry,0.89,2024-12-29 09:01:00,166,204,301,367,233,285,7.32,-5.89,2.4,0.94
face_IITDelhi_1_21,IIT Delhi,1,right,neutral,0.98,2024-12-29 09:47:00,687,333,809,502,748,417,-15.36,-14.61,0.17,0.93
face_IITDelhi_1_22,IIT Delhi,1,center,surprise,0.92,2024-12-29 10:19:00,535,241,672,403,603,322,9.09,19.71,0.61,0.95
face_IITDelhi_1_23,IIT Delhi,1,right,sad,0.86,2024-12-29 09:50:00,131,370,232,491,181,430,12.93,-0.12,-0.52,0.93
face_IITDelhi_1_24,IIT Delhi,1,center,neutral,0.94,2024-12-29 09:30:00,329,248,470,407,399,327,7.3,-6.77,-2.52,0.94
